Matrix strength (MPa),Fiber contents (vol.%),Fiber length (mm),Fiber diameter (mm),Fiber index (%),Width of specimen (mm),Depth of specimen (mm),Span length (mm),Concrete age (day),Flexural strength (MPa),References,,List of references for this database,,,
55.9,0.4,38,0.038,400,100,100,300,32,7.89,,,,,,
55.9,1.2,38,0.038,1200,100,100,300,32,10.03,,,,,,
55.9,0.4,12,0.2,24,100,100,300,32,1.73,,,,,,
55.9,1.2,12,0.2,72,100,100,300,32,4.72,,,,,,
84,1,30,0.3,100,50,25,300,28,15.79,[4],,,,,
84,1,30,0.3,100,100,100,300,28,16.63,,,,,,
84,1,30,0.3,100,150,150,450,28,12.7,,,,,,
84,1,30,0.38,78.94736842,50,25,300,28,14.02,,,,,,
84,1,30,0.38,78.94736842,100,100,300,28,11.45,,,,,,
84,1,30,0.38,78.94736842,150,150,450,28,11.56,,,,,,
137.2,0,0,0,0,150,150,450,28,14.2,[5],,,,,
137.2,2,13,0.21,123.8095238,150,150,450,28,15.9,,,,,,
137.2,2,30,0.38,157.8947368,150,150,450,28,23.8,,,,,,
137.2,2,60,0.9,133.3333333,150,150,450,28,22.6,,,,,,
137.2,0,0,0,0,150,150,450,28,13,,,,,,
137.2,2,13,0.21,123.8095238,150,150,450,28,15,,,,,,
137.2,2,30,0.38,157.8947368,150,150,450,28,18.2,,,,,,
137.2,2,60,0.9,133.3333333,150,150,450,28,19.5,,,,,,
73.5,0,0,0,0,40,40,120,5,10.6,[6],,,,,
73.5,0.5,13,0.2,32.5,40,40,120,5,12.6,,,,,,
73.5,1,13,0.2,65,40,40,120,5,14.5,,,,,,
73.5,1.5,13,0.2,97.5,40,40,120,5,17,,,,,,
73.5,2,13,0.2,130,40,40,120,5,20.1,,,,,,
73.5,2.5,13,0.2,162.5,40,40,120,5,24.7,,,,,,
73.5,3,13,0.2,195,40,40,120,5,29.7,,,,,,
90.1,0,0,0,0,40,40,120,28,11.1,[7],,,,,
86.3,0,0,0,0,40,40,120,28,8.38,,,,,,
87.4,0,0,0,0,40,40,120,28,10.6,,,,,,
102,0,0,0,0,40,40,120,28,11,,,,,,
97.4,0,0,0,0,40,40,120,28,8.12,,,,,,
112,0,0,0,0,40,40,120,28,13.5,,,,,,
100,1,13,0.3,43.33333333,40,40,120,28,9.41,,,,,,
128,2,13,0.3,86.66666667,40,40,120,28,11.9,,,,,,
113,3,13,0.3,130,40,40,120,28,18.1,,,,,,
108,2,13,0.3,86.66666667,40,40,120,28,14,,,,,,
124,0,0,0,0,100,100,300,28,16,[8],,,,,
137,1,30,1,30,100,100,300,28,16.8,,,,,,
141,1,50,1,50,100,100,300,28,18.4,,,,,,
147,2,50,1,100,100,100,300,28,20,,,,,,
145,2,30,1,60,100,100,300,28,19.2,,,,,,
154,3,50,1,150,100,100,300,28,22.4,,,,,,
151,3,30,1,90,100,100,300,28,21.6,,,,,,
150.61,0,0,0,0,150,150,450,28,6.61,[9],,,,,
180,0,0,0,0,40,40,120,6,13.4,[10],,,,,
180,0,0,0,0,100,100,300,6,6.05,,,,,,
180,2,25,0.4,125,40,40,120,6,21.8,,,,,,
180,2,25,0.4,125,100,100,300,6,11.5,,,,,,
180,0,0,0,0,40,40,120,14,13.8,,,,,,
180,0,0,0,0,100,100,300,14,6.78,,,,,,
180,2,25,0.4,125,40,40,120,14,23.1,,,,,,
180,2,25,0.4,125,100,100,300,14,12.7,,,,,,
180,0,0,0,0,40,40,120,28,14.8,,,,,,
180,0,0,0,0,100,100,300,28,7.02,,,,,,
180,2,25,0.4,125,40,40,120,28,22.3,,,,,,
180,2,25,0.4,125,100,100,300,28,16.6,,,,,,
71.69,0,0,0,0,40,40,120,28,9.4,[11],,,,,
71.69,0,0,0,0,40,40,120,28,10.35,,,,,,
71.69,0,0,0,0,40,40,120,28,11.48,,,,,,
