Matrix strength (MPa),Fiber contents (vol.%),Fiber length (mm),Fiber diameter (mm),Fiber index (%),Width of specimen (mm),Depth of specimen (mm),Span length (mm),Concrete age (day),Flexural strength (MPa)
79.6,1,13,0.2,65,40,40,120,30,23.1
79.6,1.5,13,0.2,97.5,40,40,120,30,28.61
79.6,1.5,13,0.2,97.5,40,40,120,30,33.64
79.6,1.5,13,0.2,97.5,40,40,120,30,32.22
79.6,1.5,13,0.2,97.5,40,40,120,30,31.49
55.9,0.4,30,0.38,31.57894737,100,100,300,32,6.97
55.9,1.2,30,0.38,94.73684211,100,100,300,32,11.59
55.9,0.4,30,0.3,40,100,100,300,32,7.61
55.9,1.2,30,0.3,120,100,100,300,32,13.08
55.9,0.4,38,0.038,400,100,100,300,32,7.89
55.9,1.2,38,0.038,1200,100,100,300,32,10.03
55.9,0.4,12,0.2,24,100,100,300,32,1.73
55.9,1.2,12,0.2,72,100,100,300,32,4.72
84,1,30,0.3,100,50,25,300,28,15.79
84,1,30,0.3,100,100,100,300,28,16.63
84,1,30,0.3,100,150,150,450,28,12.7
84,1,30,0.38,78.94736842,50,25,300,28,14.02
84,1,30,0.38,78.94736842,100,100,300,28,11.45
84,1,30,0.38,78.94736842,150,150,450,28,11.56
137.2,0,0,0,0,150,150,450,28,14.2
137.2,2,13,0.21,123.8095238,150,150,450,28,15.9
137.2,2,30,0.38,157.8947368,150,150,450,28,23.8
137.2,2,60,0.9,133.3333333,150,150,450,28,22.6
137.2,0,0,0,0,150,150,450,28,13
137.2,2,13,0.21,123.8095238,150,150,450,28,15
137.2,2,30,0.38,157.8947368,150,150,450,28,18.2
137.2,2,60,0.9,133.3333333,150,150,450,28,19.5
73.5,0,0,0,0,40,40,120,5,10.6
73.5,0.5,13,0.2,32.5,40,40,120,5,12.6
73.5,1,13,0.2,65,40,40,120,5,14.5
73.5,1.5,13,0.2,97.5,40,40,120,5,17
73.5,2,13,0.2,130,40,40,120,5,20.1
73.5,2.5,13,0.2,162.5,40,40,120,5,24.7
73.5,3,13,0.2,195,40,40,120,5,29.7
90.1,0,0,0,0,40,40,120,28,11.1
86.3,0,0,0,0,40,40,120,28,8.38
87.4,0,0,0,0,40,40,120,28,10.6
102,0,0,0,0,40,40,120,28,11
97.4,0,0,0,0,40,40,120,28,8.12
112,0,0,0,0,40,40,120,28,13.5
100,1,13,0.3,43.33333333,40,40,120,28,9.41
128,2,13,0.3,86.66666667,40,40,120,28,11.9
113,3,13,0.3,130,40,40,120,28,18.1
108,2,13,0.3,86.66666667,40,40,120,28,14
124,0,0,0,0,100,100,300,28,16
137,1,30,1,30,100,100,300,28,16.8
141,1,50,1,50,100,100,300,28,18.4
147,2,50,1,100,100,100,300,28,20
145,2,30,1,60,100,100,300,28,19.2
154,3,50,1,150,100,100,300,28,22.4
151,3,30,1,90,100,100,300,28,21.6
150.61,0,0,0,0,150,150,450,28,6.61
180,0,0,0,0,40,40,120,6,13.4
180,0,0,0,0,100,100,300,6,6.05
180,2,25,0.4,125,40,40,120,6,21.8
180,2,25,0.4,125,100,100,300,6,11.5
180,0,0,0,0,40,40,120,14,13.8
180,0,0,0,0,100,100,300,14,6.78
180,2,25,0.4,125,40,40,120,14,23.1
180,2,25,0.4,125,100,100,300,14,12.7
180,0,0,0,0,40,40,120,28,14.8
180,0,0,0,0,100,100,300,28,7.02
180,2,25,0.4,125,40,40,120,28,22.3
180,2,25,0.4,125,100,100,300,28,16.6
71.69,0,0,0,0,40,40,120,28,9.4
71.69,0,0,0,0,40,40,120,28,10.35
71.69,0,0,0,0,40,40,120,28,11.48
71.69,0,0,0,0,40,40,120,28,10.41
71.69,0,0,0,0,100,100,300,28,7.42
71.69,0,0,0,0,100,100,300,28,7.42
71.69,0,0,0,0,100,100,300,28,7.36
71.69,0,0,0,0,100,100,300,28,7.4
71.69,0,0,0,0,150,150,450,28,2.71
71.69,0,0,0,0,150,150,450,28,4.12
71.69,0,0,0,0,150,150,450,28,3.63
71.69,0,0,0,0,150,150,450,28,3.49
150,2,13,0.2,130,30,150,500,28,20
150,2,13,0.2,130,30,150,500,28,28
150,2,13,0.2,130,30,150,500,28,28
150,2,13,0.2,130,30,150,500,28,22.32
150,2,13,0.2,130,60,150,500,28,16.8
150,2,13,0.2,130,60,150,500,28,21
150,2,13,0.2,130,60,150,500,28,23
150,2,13,0.2,130,60,150,500,28,20.27
150,2,13,0.2,130,90,150,500,28,20.53
150,2,13,0.2,130,90,150,500,28,19.82
150,2,13,0.2,130,90,150,500,28,18.4
150,2,13,0.2,130,90,150,500,28,20.48
150,2,13,0.2,130,120,150,500,28,18.4
150,2,13,0.2,130,120,150,500,28,22.8
150,2,13,0.2,130,120,150,500,28,19.9
150,2,13,0.2,130,120,150,500,28,20.11
150,2,13,0.2,130,150,150,500,28,20.9
150,2,13,0.2,130,150,150,500,28,19.68
150,2,13,0.2,130,150,150,500,28,17.15
150,2,13,0.2,130,150,150,500,28,19.76
155.55,4,13,0.16,325,25,60,180,28,33.45
155.55,4,13,0.16,325,25,60,180,28,22.18
155.55,4,13,0.16,325,25,60,180,28,33.94
155.55,4,13,0.16,325,25,60,180,28,28.13
155.55,4,13,0.16,325,25,60,180,28,34.41
155.55,4,13,0.16,325,25,60,180,90,32.81
155.55,4,13,0.16,325,25,60,180,90,36.92
155.55,4,13,0.16,325,25,60,180,90,32.47
155.55,4,13,0.16,325,25,60,180,90,41.01
155.55,4,13,0.16,325,25,60,180,90,42.12
155.55,4,13,0.16,325,25,60,180,165,35.93
155.55,4,13,0.16,325,25,60,180,165,40.95
155.55,4,13,0.16,325,25,60,180,165,32.64
155.55,4,13,0.16,325,25,60,180,165,50.616
155.55,4,13,0.16,325,25,60,180,165,38.64
155.55,4,13,0.16,325,25,60,180,45,37.71
155.55,4,13,0.16,325,25,60,180,45,26.94
155.55,4,13,0.16,325,25,60,180,45,39.34
155.55,4,13,0.16,325,25,60,180,45,37.44
155.55,4,13,0.16,325,25,60,180,45,39.78
155.55,4,13,0.16,325,25,60,180,48,44.29
155.55,4,13,0.16,325,25,60,180,48,25.1
155.55,4,13,0.16,325,25,60,180,48,42.05
155.55,4,13,0.16,325,25,60,180,48,41.12
155.55,4,13,0.16,325,25,60,180,48,44.61
